,referralId,reasons.count,reasons.items,venue.id,venue.name,venue.location.address,venue.location.lat,venue.location.lng,venue.location.labeledLatLngs,venue.location.distance,venue.location.postalCode,venue.location.cc,venue.location.city,venue.location.state,venue.location.country,venue.location.formattedAddress,venue.categories,venue.photos.count,venue.photos.groups,venue.location.crossStreet,venue.delivery.id,venue.delivery.url,venue.delivery.provider.name,venue.delivery.provider.icon.prefix,venue.delivery.provider.icon.sizes,venue.delivery.provider.icon.name,venue.location.neighborhood,venue.venuePage.id,Station,LINE
0,e-0-4c58891e67ac0f477910024c-0,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4c58891e67ac0f477910024c,CTown Supermarkets,1781 Broadway,40.68236133496873,-73.90944279211786,"[{'label': 'display', 'lat': 40.68236133496873, 'lng': -73.90944279211786}, {'label': 'entrance', 'lat': 40.682447, 'lng': -73.909432}]",357,11207,US,Brooklyn,NY,United States,"['1781 Broadway', 'Brooklyn, NY 11207', 'United States']","[{'id': '52f2ab2ebcbc57f1066b8b46', 'name': 'Supermarket', 'pluralName': 'Supermarkets', 'shortName': 'Supermarket', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_', 'suffix': '.png'}, 'primary': True}]",0,[],,,,,,,,,,Bushwick - Aberdeen,L
0,e-0-4e5bf65fb99329e22adfd68c-0,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4e5bf65fb99329e22adfd68c,Fine Fare,33 Truxton St,40.67853745101416,-73.90796649878509,"[{'label': 'display', 'lat': 40.67853745101416, 'lng': -73.90796649878509}]",224,11233,US,Brooklyn,NY,United States,"['33 Truxton St', 'Brooklyn, NY 11233', 'United States']","[{'id': '52f2ab2ebcbc57f1066b8b46', 'name': 'Supermarket', 'pluralName': 'Supermarkets', 'shortName': 'Supermarket', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_', 'suffix': '.png'}, 'primary': True}]",0,[],,,,,,,,,,Broadway Junction,L
1,e-0-4e28b5ab45ddfe8f9df51050-1,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4e28b5ab45ddfe8f9df51050,Associated Supermarket,161 Rockaway Ave,40.677124,-73.910551,"[{'label': 'display', 'lat': 40.677124, 'lng': -73.910551}]",462,11233,US,Brooklyn,NY,United States,"['161 Rockaway Ave', 'Brooklyn, NY 11233', 'United States']","[{'id': '4bf58dd8d48988d118951735', 'name': 'Grocery Store', 'pluralName': 'Grocery Stores', 'shortName': 'Grocery Store', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_', 'suffix': '.png'}, 'primary': True}]",0,[],,,,,,,,,,Broadway Junction,L
0,e-0-4f58f596e4b0db97b7837444-0,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4f58f596e4b0db97b7837444,vivian's Supermarket,,40.87129525976071,-73.84990373331681,"[{'label': 'display', 'lat': 40.87129525976071, 'lng': -73.84990373331681}]",355,,US,,New York,United States,"['New York', 'United States']","[{'id': '52f2ab2ebcbc57f1066b8b46', 'name': 'Supermarket', 'pluralName': 'Supermarkets', 'shortName': 'Supermarket', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_', 'suffix': '.png'}, 'primary': True}]",0,[],,,,,,,,,,Gun Hill Rd,5
0,e-0-4afa4fbdf964a520af1722e3-0,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4afa4fbdf964a520af1722e3,Fine Fare,4776 Broadway,40.865754899774615,-73.92655697967368,"[{'label': 'display', 'lat': 40.865754899774615, 'lng': -73.92655697967368}, {'label': 'entrance', 'lat': 40.865689, 'lng': -73.926389}]",66,10034,US,New York,NY,United States,"['4776 Broadway (at Dyckman St)', 'New York, NY 10034', 'United States']","[{'id': '52f2ab2ebcbc57f1066b8b46', 'name': 'Supermarket', 'pluralName': 'Supermarkets', 'shortName': 'Supermarket', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_', 'suffix': '.png'}, 'primary': True}]",0,[],at Dyckman St,,,,,,,,,Dyckman St,1
1,e-0-4bd23101a8b3a593e362675f-1,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4bd23101a8b3a593e362675f,Dan's Supermarket #2,Sherman Ave,40.863933589416284,-73.92536790068304,"[{'label': 'display', 'lat': 40.863933589416284, 'lng': -73.92536790068304}, {'label': 'entrance', 'lat': 40.863926, 'lng': -73.925478}]",236,10034,US,New York,NY,United States,"['Sherman Ave (Dyckman and Academy)', 'New York, NY 10034', 'United States']","[{'id': '52f2ab2ebcbc57f1066b8b46', 'name': 'Supermarket', 'pluralName': 'Supermarkets', 'shortName': 'Supermarket', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_', 'suffix': '.png'}, 'primary': True}]",0,[],Dyckman and Academy,,,,,,,,,Dyckman St,1
2,e-0-4e108a4db61c637b97a4d577-2,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4e108a4db61c637b97a4d577,Finefare Supermarket,,40.861337480348716,-73.92582395477952,"[{'label': 'display', 'lat': 40.861337480348716, 'lng': -73.92582395477952}]",478,,US,,New York,United States,"['New York', 'United States']",[],0,[],,,,,,,,,,Dyckman St,1
0,e-0-4bf81fae5ec320a1bf2b88d3-0,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4bf81fae5ec320a1bf2b88d3,Wild Olive Market,10 E 125th St,40.80621716812029,-73.94181434324825,"[{'label': 'display', 'lat': 40.80621716812029, 'lng': -73.94181434324825}]",424,10035,US,New York,NY,United States,"['10 E 125th St (at 5th Ave)', 'New York, NY 10035', 'United States']","[{'id': '4bf58dd8d48988d118951735', 'name': 'Grocery Store', 'pluralName': 'Grocery Stores', 'shortName': 'Grocery Store', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_', 'suffix': '.png'}, 'primary': True}]",0,[],at 5th Ave,,,,,,,,,125th St,1
1,e-0-4c4347bee26920a1a23e61e7-1,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4c4347bee26920a1a23e61e7,Associated,2212 3rd Ave,40.800937811118395,-73.937826577906,"[{'label': 'display', 'lat': 40.800937811118395, 'lng': -73.937826577906}]",356,10035,US,New York,NY,United States,"['2212 3rd Ave', 'New York, NY 10035', 'United States']","[{'id': '52f2ab2ebcbc57f1066b8b46', 'name': 'Supermarket', 'pluralName': 'Supermarkets', 'shortName': 'Supermarket', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_', 'suffix': '.png'}, 'primary': True}]",0,[],,,,,,,,,,125th St,1
2,e-0-5ba54e4079f6c7002cab5f35-2,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",5ba54e4079f6c7002cab5f35,Foodtown,2211 3rd Ave,40.800794,-73.937478,"[{'label': 'display', 'lat': 40.800794, 'lng': -73.937478}]",372,10035,US,New York,NY,United States,"['2211 3rd Ave', 'New York, NY 10035', 'United States']","[{'id': '52f2ab2ebcbc57f1066b8b46', 'name': 'Supermarket', 'pluralName': 'Supermarkets', 'shortName': 'Supermarket', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_', 'suffix': '.png'}, 'primary': True}]",0,[],,2532113,https://www.seamless.com/menu/foodtown-of-east-harlem-2211-3rd-ave-new-york/2532113?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=2532113,seamless,https://fastly.4sqi.net/img/general/cap/,"[40, 50]",/delivery_provider_seamless_20180129.png,,,125th St,1
